(,,)
(1998,10,1.055)
(1998,11,1.05)
(1998,11,1.048)
(1998,11,1.037)
(1998,11,1.03)
(1998,11,1.015)
(1998,12,0.996)
(1998,12,0.987)
(1998,12,0.986)
(1998,12,0.979)
(1999,1,0.977)
(1999,1,0.982)
(1999,1,0.985)
(1999,1,0.977)
(1999,2,0.971)
(1999,2,0.968)
(1999,2,0.96)
(1999,2,0.949)
(1999,3,0.955)
(1999,3,0.963)
(1999,3,1.017)
(1999,3,1.056)
(1999,3,1.121)
(1999,4,1.158)
(1999,4,1.179)
(1999,4,1.175)
(1999,4,1.171)
(1999,5,1.176)
(1999,5,1.18)
(1999,5,1.18)
(1999,5,1.166)
(1999,5,1.151)
(1999,6,1.152)
(1999,6,1.148)
(1999,6,1.163)
(1999,6,1.153)
(1999,7,1.165)
(1999,7,1.182)
(1999,7,1.208)
(1999,7,1.232)
(1999,8,1.234)
(1999,8,1.246)
(1999,8,1.275)
(1999,8,1.273)
(1999,8,1.273)
(1999,9,1.282)
(1999,9,1.29)
(1999,9,1.307)
(1999,9,1.302)
(1999,10,1.296)
(1999,10,1.29)
(1999,10,1.277)
(1999,10,1.277)
(1999,11,1.271)
(1999,11,1.274)
(1999,11,1.292)
(1999,11,1.309)
(1999,11,1.315)
(1999,12,1.313)
(1999,12,1.315)
(1999,12,1.31)
(1999,12,1.314)
(2000,1,1.312)
(2000,1,1.304)
(2000,1,1.318)
(2000,1,1.354)
(2000,1,1.355)
(2000,2,1.364)
(2000,2,1.394)
(2000,2,1.443)
(2000,2,1.458)
(2000,3,1.539)
(2000,3,1.566)
(2000,3,1.569)
(2000,3,1.549)
(2000,4,1.543)
(2000,4,1.516)
(2000,4,1.486)
(2000,4,1.478)
(2000,5,1.461)
(2000,5,1.495)
(2000,5,1.531)
(2000,5,1.566)
(2000,5,1.579)
(2000,6,1.599)
(2000,6,1.664)
(2000,6,1.711)
(2000,6,1.691)
(2000,7,1.661)
(2000,7,1.63)
(2000,7,1.586)
(2000,7,1.562)
(2000,7,1.514)
(2000,8,1.504)
(2000,8,1.489)
(2000,8,1.508)
(2000,8,1.521)
(2000,9,1.568)
(2000,9,1.598)
(2000,9,1.599)
(2000,9,1.586)
(2000,10,1.563)
(2000,10,1.541)
(2000,10,1.578)
(2000,10,1.588)
(2000,10,1.584)
(2000,11,1.565)
(2000,11,1.562)
(2000,11,1.55)
(2000,11,1.549)
(2000,12,1.526)
(2000,12,1.49)
(2000,12,1.462)
(2000,12,1.453)
(2001,1,1.446)
(2001,1,1.465)
(2001,1,1.513)
(2001,1,1.511)
(2001,1,1.5)
(2001,2,1.483)
(2001,2,1.515)
(2001,2,1.489)
(2001,2,1.471)
(2001,3,1.457)
(2001,3,1.453)
(2001,3,1.444)
(2001,3,1.445)
(2001,4,1.482)
(2001,4,1.54)
(2001,4,1.61)
(2001,4,1.658)
(2001,4,1.665)
(2001,5,1.739)
(2001,5,1.748)
(2001,5,1.724)
(2001,5,1.739)
(2001,6,1.715)
(2001,6,1.688)
(2001,6,1.644)
(2001,6,1.583)
(2001,7,1.52)
(2001,7,1.484)
(2001,7,1.459)
(2001,7,1.44)
(2001,7,1.428)
(2001,8,1.419)
(2001,8,1.434)
(2001,8,1.467)
(2001,8,1.523)
(2001,9,1.579)
(2001,9,1.562)
(2001,9,1.564)
(2001,9,1.522)
(2001,10,1.455)
(2001,10,1.393)
(2001,10,1.351)
(2001,10,1.307)
(2001,10,1.277)
(2001,11,1.249)
(2001,11,1.224)
(2001,11,1.208)
(2001,11,1.168)
(2001,12,1.149)
(2001,12,1.136)
(2001,12,1.101)
(2001,12,1.113)
(2001,12,1.137)
(2002,1,1.152)
(2002,1,1.152)
(2002,1,1.146)
(2002,1,1.142)
(2002,2,1.157)
(2002,2,1.148)
(2002,2,1.157)
(2002,2,1.157)
(2002,3,1.185)
(2002,3,1.262)
(2002,3,1.328)
(2002,3,1.382)
(2002,4,1.412)
(2002,4,1.454)
(2002,4,1.446)
(2002,4,1.446)
(2002,4,1.435)
(2002,5,1.437)
(2002,5,1.431)
(2002,5,1.439)
(2002,5,1.429)
(2002,6,1.433)
(2002,6,1.417)
(2002,6,1.419)
(2002,6,1.425)
(2002,7,1.433)
(2002,7,1.423)
(2002,7,1.435)
(2002,7,1.451)
(2002,7,1.447)
(2002,8,1.437)
(2002,8,1.435)
(2002,8,1.434)
(2002,8,1.444)
(2002,9,1.436)
(2002,9,1.437)
(2002,9,1.442)
(2002,9,1.436)
(2002,9,1.455)
(2002,10,1.48)
(2002,10,1.481)
(2002,10,1.499)
(2002,10,1.485)
(2002,11,1.489)
(2002,11,1.48)
(2002,11,1.451)
(2002,11,1.423)
(2002,12,1.408)
(2002,12,1.404)
(2002,12,1.407)
(2002,12,1.443)
(2002,12,1.484)
(2003,1,1.487)
(2003,1,1.496)
(2003,1,1.502)
(2003,1,1.515)
(2003,2,1.569)
(2003,2,1.649)
(2003,2,1.701)
(2003,2,1.699)
(2003,3,1.726)
(2003,3,1.752)
(2003,3,1.768)
(2003,3,1.732)
(2003,3,1.692)
(2003,4,1.673)
(2003,4,1.639)
(2003,4,1.618)
(2003,4,1.6)
(2003,5,1.556)
(2003,5,1.534)
(2003,5,1.539)
(2003,5,1.528)
(2003,6,1.514)
(2003,6,1.53)
(2003,6,1.558)
(2003,6,1.537)
(2003,6,1.528)
(2003,7,1.53)
(2003,7,1.563)
(2003,7,1.566)
(2003,7,1.558)
(2003,8,1.576)
(2003,8,1.611)
(2003,8,1.668)
(2003,8,1.787)
(2003,9,1.786)
(2003,9,1.758)
(2003,9,1.739)
(2003,9,1.686)
(2003,9,1.635)
(2003,10,1.617)
(2003,10,1.611)
(2003,10,1.612)
(2003,10,1.584)
(2003,11,1.577)
(2003,11,1.547)
(2003,11,1.54)
(2003,11,1.554)
(2003,12,1.533)
(2003,12,1.519)
(2003,12,1.509)
(2003,12,1.528)
(2003,12,1.521)
(2004,1,1.552)
(2004,1,1.603)
(2004,1,1.637)
(2004,1,1.664)
(2004,2,1.66)
(2004,2,1.681)
(2004,2,1.69)
(2004,2,1.73)
(2004,3,1.758)
(2004,3,1.78)
(2004,3,1.767)
(2004,3,1.785)
(2004,3,1.8)
(2004,4,1.822)
(2004,4,1.827)
(2004,4,1.853)
(2004,4,1.853)
(2004,5,1.884)
(2004,5,1.979)
(2004,5,2.055)
(2004,5,2.104)
(2004,5,2.092)
(2004,6,2.075)
(2004,6,2.029)
(2004,6,1.981)
(2004,6,1.965)
(2004,7,1.939)
(2004,7,1.959)
(2004,7,1.971)
(2004,7,1.948)
(2004,8,1.93)
(2004,8,1.92)
(2004,8,1.917)
(2004,8,1.926)
(2004,8,1.909)
(2004,9,1.893)
(2004,9,1.889)
(2004,9,1.908)
(2004,9,1.959)
(2004,10,1.98)
(2004,10,2.035)
(2004,10,2.077)
(2004,10,2.074)
(2004,11,2.076)
(2004,11,2.045)
(2004,11,2.014)
(2004,11,1.992)
(2004,11,1.989)
(2004,12,1.956)
(2004,12,1.893)
(2004,12,1.861)
(2004,12,1.838)
(2005,1,1.824)
(2005,1,1.837)
(2005,1,1.863)
(2005,1,1.896)
(2005,1,1.953)
(2005,2,1.952)
(2005,2,1.941)
(2005,2,1.948)
(2005,2,1.969)
(2005,3,2.04)
(2005,3,2.098)
(2005,3,2.149)
(2005,3,2.194)
(2005,4,2.258)
(2005,4,2.321)
(2005,4,2.28)
(2005,4,2.279)
(2005,5,2.277)
(2005,5,2.231)
(2005,5,2.206)
(2005,5,2.169)
(2005,5,2.141)
(2005,6,2.159)
(2005,6,2.173)
(2005,6,2.204)
(2005,6,2.257)
(2005,7,2.268)
(2005,7,2.369)
(2005,7,2.36)
(2005,7,2.333)
(2005,8,2.335)
(2005,8,2.41)
(2005,8,2.592)
(2005,8,2.654)
(2005,8,2.653)
(2005,9,3.117)
(2005,9,3.002)
(2005,9,2.835)
(2005,9,2.851)
(2005,10,2.975)
(2005,10,2.896)
(2005,10,2.775)
(2005,10,2.652)
(2005,10,2.528)
(2005,11,2.424)
(2005,11,2.342)
(2005,11,2.247)
(2005,11,2.2)
(2005,12,2.191)
(2005,12,2.228)
(2005,12,2.255)
(2005,12,2.241)
(2006,1,2.281)
(2006,1,2.371)
(2006,1,2.366)
(2006,1,2.382)
(2006,1,2.402)
(2006,2,2.388)
(2006,2,2.331)
(2006,2,2.286)
(2006,2,2.298)
(2006,3,2.373)
(2006,3,2.408)
(2006,3,2.548)
(2006,3,2.542)
(2006,4,2.631)
(2006,4,2.727)
(2006,4,2.828)
(2006,4,2.96)
(2006,5,2.966)
(2006,5,2.955)
(2006,5,2.992)
(2006,5,2.938)
(2006,5,2.913)
(2006,6,2.937)
(2006,6,2.951)
(2006,6,2.917)
(2006,6,2.914)
(2006,7,2.979)
(2006,7,3.017)
(2006,7,3.033)
(2006,7,3.048)
(2006,7,3.05)
(2006,8,3.083)
(2006,8,3.047)
(2006,8,2.971)
(2006,8,2.893)
(2006,9,2.777)
(2006,9,2.67)
(2006,9,2.549)
(2006,9,2.429)
(2006,10,2.36)
(2006,10,2.31)
(2006,10,2.274)
(2006,10,2.255)
(2006,10,2.264)
(2006,11,2.246)
(2006,11,2.278)
(2006,11,2.285)
(2006,11,2.292)
(2006,12,2.342)
(2006,12,2.34)
(2006,12,2.366)
(2006,12,2.387)
(2007,1,2.382)
(2007,1,2.354)
(2007,1,2.28)
(2007,1,2.216)
(2007,1,2.213)
(2007,2,2.237)
(2007,2,2.287)
(2007,2,2.341)
(2007,2,2.428)
(2007,3,2.551)
(2007,3,2.605)
(2007,3,2.623)
(2007,3,2.655)
(2007,4,2.753)
(2007,4,2.848)
(2007,4,2.922)
(2007,4,2.917)
(2007,4,3.017)
(2007,5,3.097)
(2007,5,3.143)
(2007,5,3.258)
(2007,5,3.25)
(2007,6,3.2)
(2007,6,3.122)
(2007,6,3.057)
(2007,6,3.029)
(2007,7,3.005)
(2007,7,3.026)
(2007,7,3.092)
(2007,7,3.005)
(2007,7,2.926)
(2007,8,2.888)
(2007,8,2.821)
(2007,8,2.832)
(2007,8,2.796)
(2007,9,2.84)
(2007,9,2.862)
(2007,9,2.835)
(2007,9,2.86)
(2007,10,2.838)
(2007,10,2.821)
(2007,10,2.813)
(2007,10,2.873)
(2007,10,2.921)
(2007,11,3.06)
(2007,11,3.158)
(2007,11,3.148)
(2007,11,3.147)
(2007,12,3.113)
(2007,12,3.053)
(2007,12,3.05)
(2007,12,3.032)
(2007,12,3.104)
(2008,1,3.159)
(2008,1,3.119)
(2008,1,3.07)
(2008,1,3.03)
(2008,2,3.03)
(2008,2,3.011)
(2008,2,3.092)
(2008,2,3.18)
(2008,3,3.212)
(2008,3,3.273)
(2008,3,3.332)
(2008,3,3.31)
(2008,3,3.339)
(2008,4,3.381)
(2008,4,3.438)
(2008,4,3.557)
(2008,4,3.653)
(2008,5,3.663)
(2008,5,3.771)
(2008,5,3.84)
(2008,5,3.986)
(2008,6,4.026)
(2008,6,4.09)
(2008,6,4.134)
