1993	1.1695384615384619
1994	1.1773461538461538
1995	1.2510192307692307
1996	1.3601132075471698
1997	1.375230769230769
1998	1.1991923076923072
1999	1.3742307692307696
2000	1.673923076923077
2001	1.6262452830188683
2002	1.5069230769230766
2003	1.8197884615384616
2004	2.1095961538461534
2005	2.4795000000000007
2006	2.80376923076923
2007	3.0531509433962256
2008	3.498442307692306
2009	2.6617884615384613
2010	3.0829230769230773
2011	3.7920961538461553
2012	3.984207547169811
2013	3.8314615384615394
2014	3.70646153846154
2015	3.0416153846153855
2016	2.522
