1993	1.066923076923077
1994	1.0598846153846149
1995	1.1591923076923076
1996	1.2272830188679247
1997	1.2173076923076922
1998	1.0321538461538464
1999	1.119788461538462
2000	1.456480769230769
2001	1.3711509433962266
2002	1.318846153846154
2003	1.4997500000000001
2004	1.7888846153846159
2005	2.235
2006	2.5235576923076923
2007	2.717188679245283
2008	3.188096153846155
2009	2.279807692307692
2010	2.7020384615384616
2011	3.423230769230768
2012	3.4793773584905656
2013	3.3736730769230765
2014	3.21648076923077
2015	2.256173076923078
2016	1.8313888888888892
