1993	1.1361282051282053
1994	1.1407884615384614
1995	1.1787115384615385
1996	1.2754905660377358
1997	1.2982499999999997
1998	1.1362307692307692
1999	1.2451153846153848
2000	1.554307692307693
2001	1.4898490566037725
2002	1.3963076923076925
2003	1.609173076923077
2004	1.8879038461538462
2005	2.3062884615384616
2006	2.5985192307692304
2007	2.841867924528303
2008	3.2620961538461537
2009	2.3326346153846154
2010	2.8152692307692297
2011	3.46475
2012	3.551811320754716
2013	3.4807884615384617
2014	3.3935576923076924
2015	2.4811730769230773
2016	1.9784999999999995
